City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
San-Pedro,CI,100,96,4.75,-6.64,71.33,3.42
Umea,SE,0,93,63.83,20.26,48.2,3.36
Thohoyandou,ZA,82,76,-22.97,30.46,47.75,9.15
Itambacuri,BR,78,92,-18.04,-41.68,59.63,2.62
Cedeno,CO,97,97,7.05,-72.16,49.91,1.39
Tolaga Bay,NZ,72,44,-38.37,178.3,58.37,2.19
Tawang,BT,96,84,27.59,91.87,66.11,2.8
Luba,PH,100,71,17.32,120.7,85.37,6.29
La Grande,US,1,25,45.32,-118.09,80.01,3.36
Gardez,AF,0,29,33.6,69.22,73.85,5.37
Uribia,CO,0,70,11.71,-72.27,79.25,11.92
Tocopilla,CL,69,84,-22.09,-70.2,57.29,3.89
Boden,SE,34,82,65.83,21.69,60.8,4.7
Aykhal,RU,0,28,65.95,111.51,69.8,4.47
Gravdal,NO,90,93,59.79,5.78,59,6.93
Nelson Bay,AU,0,37,-32.72,152.14,73,8.05
Kodinsk,RU,100,45,58.6,99.18,62.87,9.22
Lourdes,SV,20,78,13.73,-89.37,82.4,4.7
Charcas,MX,26,52,23.13,-101.11,64.85,18.68
Margate,AU,20,41,-43.03,147.26,59,26.4
Isangel,VU,20,49,-19.55,169.27,73.4,11.41
Sarakhs,TM,0,49,36.54,61.16,89.6,11.41
Torres,BR,0,81,-29.34,-49.73,61.07,3.53
Okha,RU,100,97,53.59,142.95,52.25,15.82
Barao de Melgaco,BR,0,47,-16.19,-55.97,78.8,3.36
Emirdag,TR,0,80,39.02,31.15,59.27,3.91
Rio Grande,BR,0,91,-32.03,-52.1,60.01,8.61
Tevaitoa,PF,31,76,-16.78,-151.5,76.73,15.77
Yinchuan,CN,100,28,38.48,106.21,89.01,4
Ormond Beach,US,20,94,29.29,-81.06,82,3.36
Jumla,NP,82,77,29.28,82.18,62.51,2.08
Hamilton,CA,90,100,43.26,-79.87,73.99,8.05
Pangnirtung,CA,96,82,66.15,-65.72,48.29,3.96
Aksarka,RU,25,58,66.56,67.8,69.89,3.51
Ulaangom,MN,20,38,49.98,92.07,70.79,5.01
Dubti,ET,64,28,11.74,41.09,90.77,4.97
Roald,NO,100,93,62.58,6.12,60.8,2.24
Shaunavon,CA,21,71,49.65,-108.41,58.73,1.95
Caravelas,BR,46,77,-17.73,-39.27,71.33,13.27
Aldan,RU,6,43,58.61,125.39,63.77,12.21
Puerto Colombia,CO,0,78,10.99,-74.96,82.4,13.87
Harper,US,1,48,30.3,-99.24,86,6.93
San Jeronimito,MX,75,66,17.55,-101.33,87.8,6.93
Amapa,HN,90,94,15.09,-87.97,73.99,2.24
Butte,US,1,53,46.01,-112.54,69.01,14.99
Wadi Musa,JO,0,94,30.32,35.48,61.79,0.89
Znamenskoye,RU,0,88,57.13,73.82,72.95,0.38
Porbandar,IN,99,77,21.64,69.61,82.67,5.73
Ruski Krstur,RS,0,93,45.56,19.42,59,6.93
Salta,AR,0,71,-24.79,-65.41,57.2,5.82
Tekeli,KZ,25,24,44.86,78.76,85.19,6.93
Sistranda,NO,0,67,63.73,8.83,64.99,14.99
Jaguaruna,BR,0,66,-28.62,-49.03,58.91,4.79
Djibo,BF,100,47,14.1,-1.63,86.09,3.29
Dwarka,IN,18,79,28.58,77.04,89.01,4.7
Erzurum,TR,0,72,39.91,41.27,64.4,6.93
Brae,GB,59,93,60.4,-1.35,53.6,11.41
Kaniama,CD,0,37,-7.57,24.18,61.79,4.25
Pidhorodne,UA,0,67,48.57,35.1,62.6,1.81
Kyzyl-Suu,KG,24,66,42.34,78,64.67,6.24
Nakapiripirit,UG,86,84,1.81,34.71,63.59,3.47
Christchurch,NZ,100,93,-43.53,172.64,55.99,11.41
Morales,GT,90,88,15.47,-88.84,77,9.17
Esmeraldas,BR,0,82,-19.76,-44.31,59,10.29
Barabinsk,RU,100,70,55.35,78.35,61.43,5.41
Ajdabiya,LY,0,75,30.75,20.22,74.57,13.27
Banda Aceh,ID,100,80,5.56,95.32,81.59,32.39
Tsumeb,NA,0,15,-19.25,17.72,54.95,9.62
Havoysund,NO,17,67,71,24.66,59,5.82
Ust-Nera,RU,100,39,64.57,143.24,54.77,7.52
Teguldet,RU,88,96,57.31,88.17,50.81,4.61
Linxia,CN,100,76,35.6,103.21,60.17,8.32
Flin Flon,CA,4,51,54.77,-101.88,61.43,3
Guarapari,BR,75,93,-20.67,-40.5,66.2,1.12
Homer,US,90,68,59.64,-151.54,66.99,9.17
Alexander City,US,40,94,32.94,-85.95,75.99,1.43
Sangar,RU,5,34,63.92,127.47,70.61,9.42
Turukhansk,RU,0,41,65.8,87.96,71.69,6.33
Marsh Harbour,BS,43,75,26.54,-77.06,83.57,13.2
